Date,ID,Did you train today?,Session Type,Duration (min),RPE,Training Load (AU),Daily Training Load Total,Acute Load,Chronic Load,A:C Ratio
7/21/2018,HO,Yes,Mobility/Recovery,5,0,0,446,323.1,303.25,1.07
7/21/2018,HO,Yes,Game,29,7,203,,,,
7/21/2018,HO,Yes,Game,27,9,243,,,,
7/20/2018,HO,Yes,Game,27,6,162,306,259.4,287.32,0.9
7/20/2018,HO,Yes,Game,24,6,144,,,,
7/20/2018,HO,Yes,Mobility/Recovery,10,0,0,,,,
7/20/2018,LH,Yes,Game,36,6,216,534,256.3,344.18,0.74
7/20/2018,LH,Yes,Game,36,8,288,,,,
7/20/2018,LH,Yes,Mobility/Recovery,15,2,30,,,,
7/19/2018,MW,Yes,Conditioning,20,9,180,380,107.1,301.54,0.36
7/19/2018,MW,Yes,Strength,30,4,120,,,,
7/19/2018,MW,Yes,Combat,20,4,80,,,,
7/19/2018,NA,Yes,Skills,60,3,180,180,87.9,140.54,0.63
7/19/2018,NA,Yes,Skills,60,4,240,240,117.1,279.96,0.42
7/19/2018,ID,Yes,Skills,75,4,300,300,122.1,250,0.49
7/19/2018,HO,Yes,Skills,90,6,540,540,215.7,276.39,0.78
7/19/2018,HO,Yes,Mobility/Recovery,30,0,0,,,,
7/19/2018,NR,Yes,Skills,60,5,300,300,141.4,342.32,0.41
7/19/2018,RE,Yes,Skills,60,4,240,240,102.9,348.57,0.3
7/19/2018,LH,Yes,Skills,90,5,450,450,180,325.11,0.55
7/18/2018,NA,No,,,,,,62.1,159.46,0.39
7/18/2018,HO,Yes,Mobility/Recovery,30,0,0,0,138.6,280.68,0.49
7/18/2018,RE,No,,,,,,68.6,378.21,0.18
7/18/2018,NA,No,,,,,,82.9,316.57,0.26
7/18/2018,ID,No,,,,,,79.3,271.43,0.29
7/18/2018,LH,No,,,,,,115.7,351.36,0.33
7/18/2018,NR,No,,,,,,98.6,372.86,0.26
7/18/2018,TN,No,,,,,,105,372.25,0.28
7/18/2018,MW,No,,,,,,52.9,333.5,0.16
7/17/2018,NA,Yes,Skills,60,4,240,280,181.4,349.07,0.52
7/17/2018,NA,Yes,Mobility/Recovery,40,1,40,,,,
7/17/2018,NR,Yes,Skills,75,6,450,450,205.7,401.79,0.51
7/17/2018,NE,Yes,Skills,60,5,300,300,107.1,309.11,0.35
7/17/2018,LH,Yes,Skills,90,5,450,450,210,391.36,0.54
7/17/2018,NA,Yes,Skills,60,3,180,195,62.1,173.93,0.36
7/17/2018,NA,Yes,Mobility/Recovery,30,0.5,15,,,,
7/17/2018,HO,Yes,Skills,90,6,540,540,268.6,309.25,0.87
7/17/2018,HO,Yes,Mobility/Recovery,60,0,0,,,,
7/17/2018,RE,Yes,Skills,60,3,180,220,147.9,401.25,0.37
7/17/2018,RE,Yes,Mobility/Recovery,40,1,40,,,,
7/17/2018,TM,Yes,Skills,60,5,300,300,42.9,100.71,0.43
7/17/2018,IP,Yes,Skills,90,5,450,450,137.1,330.93,0.41
7/17/2018,ID,Yes,Skills,60,4,240,240,79.3,298.57,0.27
7/17/2018,TN,Yes,Skills,75,5,375,375,190.7,392.61,0.49
7/17/2018,MW,Yes,Speed,30,3,90,370,52.9,333.5,0.16
7/17/2018,MW,Yes,Conditioning,35,8,280,,,,
7/17/2018,TS,Yes,Skills,60,4,240,240,34.3,161.68,0.21
7/16/2018,RE,Yes,Speed,20,3,60,260,116.4,393.93,0.3
7/16/2018,RE,Yes,Skills,60,3,180,,,,
7/16/2018,RE,Yes,Mobility/Recovery,40,0.5,20,,,,
7/16/2018,HO,Yes,Speed,20,4,80,430,191.4,289.96,0.66
7/16/2018,HO,Yes,Skills,70,5,350,,,,
7/16/2018,HO,Yes,Mobility/Recovery,20,0,0,,,,
7/16/2018,ID,Yes,Speed,25,3,75,315,45,290,0.16
7/16/2018,ID,Yes,Skills,60,4,240,,,,
7/16/2018,NA,Yes,Skills,60,3,180,240,34.3,166.96,0.21
7/16/2018,NA,Yes,Speed,30,2,60,,,,
7/16/2018,NR,Yes,Skills,60,3,180,240,141.4,385.71,0.37
7/16/2018,NR,Yes,Speed,20,3,60,,,,
7/16/2018,TN,Yes,Speed,30,4,120,360,137.1,379.21,0.36
7/16/2018,TN,Yes,Skills,60,4,240,,,,
7/16/2018,LH,Yes,Skills,90,4,360,360,145.7,375.29,0.39
7/16/2018,NA,Yes,Speed,20,3,60,240,141.4,339.07,0.42
7/16/2018,NA,Yes,Skills,50,3,150,,,,
7/16/2018,NA,Yes,Mobility/Recovery,15,2,30,,,,
7/15/2018,ID,No,,,,,,32.9,278.75,0.12
7/15/2018,HO,No,,,,,,166.3,311.04,0.53
7/15/2018,TN,No,,,,,,115.4,397.43,0.29
7/15/2018,NR,No,,,,,,167.1,416.25,0.4
7/15/2018,LH,No,,,,,,120.4,404.21,0.3
7/15/2018,RE,No,,,,,,132.9,418.75,0.32
7/14/2018,NR,No,,,,,,293.6,452.14,0.65
7/14/2018,RE,No,,,,,,255,455.89,0.56
7/14/2018,HO,No,,,,,,269.1,346.39,0.78
7/14/2018,TN,No,,,,,,256.9,397.43,0.65
