Date,ID,Fatigue,Soreness,Desire to Train,Irritability,Sleep hours,Sleep Quality,Monitoring Score,Monitoring Z-Score
7/21/2018,TM,5,3,4,4,7.25,4,20,0.11
7/21/2018,RE,3,2,5,3,8,2,15,-0.3
7/21/2018,TN,3,3,5,4,8,4,19,0.65
7/21/2018,TS,4,3,6,5,8.5,7,25,0.36
7/21/2018,LH,4,3,6,4,8,3,20,1.72
7/21/2018,HO,4,3,5,4,8,4,20,0.99
7/21/2018,NA,4,3,4,4,8,4,19,-0.11
7/21/2018,IP,3,3,4,4,8.75,4,18,-0.24
7/21/2018,NR,2,2,5,4,9,3,16,-0.7
7/21/2018,NE,2,3,5,4,6.5,1,15,-0.78
7/21/2018,ID,2,2,4,4,7.25,3,15,-0.54
7/21/2018,CL,3,3,2,3,8,2,13,-0.82
7/20/2018,TM,5,6,6,5,7.25,5,27,3.07
7/20/2018,TS,5,6,6,5,9,7,29,1.37
7/20/2018,HO,4,4,5,4,8.5,4,21,1.53
7/20/2018,NR,3,4,4,4,9,4,19,0.67
7/20/2018,TN,4,4,6,4,8,4,22,2.38
7/20/2018,ID,3,4,4,4,8.5,3,18,0.55
7/20/2018,LH,4,4,6,4,8.25,4,22,2.48
7/20/2018,NE,4,5,6,4,8,3,22,1.48
7/20/2018,CL,3,4,3,4,8,2,16,0.01
7/20/2018,NA,4,4,5,4,9,3,20,0.17
7/20/2018,RE,4,4,5,5,9,4,22,1.75
7/20/2018,IP,3,4,7,4,8.5,4,22,1.29
7/19/2018,CL,4,4,3,4,9.5,5,20,1.12
7/19/2018,NE,4,6,6,4,9,4,24,2.14
7/19/2018,NR,3,4,4,4,9.5,4,19,0.67
7/19/2018,HO,4,4,4,4,8.5,3,19,0.46
7/19/2018,LH,3,3,4,4,8.75,4,18,0.99
7/19/2018,TN,4,4,4,4,8,4,20,1.24
7/19/2018,ID,3,3,4,4,9.25,2,16,-0.17
7/19/2018,NA,4,4,5,4,9.75,5,22,0.75
7/19/2018,RE,3,4,5,4,8.5,4,20,1.17
7/19/2018,TS,5,4,5,4,9.25,4,22,-0.39
7/19/2018,IP,4,3,5,4,9.5,4,20,0.53
7/19/2018,MW,4,3,4,5,8.25,3,19,-0.01
7/18/2018,MW,4,2,4,4,9,5,19,-0.01
7/18/2018,CL,3,4,3,1,8.75,4,15,-0.27
7/18/2018,NA,5,4,5,4,10.5,6,24,1.32
7/18/2018,NE,3,5,5,4,8.25,1,18,0.2
7/18/2018,RE,4,4,4,4,9.25,4,20,1.17
7/18/2018,HO,4,4,4,4,9,4,20,1
7/18/2018,ID,3,4,4,4,9,2,17,0.19
7/18/2018,LH,4,3,4,4,9.5,3,18,0.99
7/18/2018,NR,4,4,4,4,9,4,20,1.13
7/18/2018,IP,3,4,4,4,9.75,4,19,0.15
7/18/2018,TS,4,4,6,5,9.25,7,26,0.62
7/18/2018,TN,4,3,4,4,8.5,4,19,0.66
7/17/2018,RE,3,4,5,4,9.25,3,19,0.88
7/17/2018,CL,4,4,3,4,8.75,3,18,0.56
7/17/2018,NE,4,6,6,5,9.25,4,25,2.48
7/17/2018,ID,3,3,4,4,8.75,2,16,-0.17
7/17/2018,LH,4,3,4,4,10,2,17,0.61
7/17/2018,TS,4,5,4,4,8.75,6,23,-0.13
7/17/2018,HO,4,4,4,4,9,4,20,1
7/17/2018,NR,4,4,5,4,9,4,21,1.59
7/17/2018,NA,4,4,4,4,9,3,19,-0.11
7/17/2018,IP,3,4,5,4,9,4,20,0.53
7/17/2018,TN,4,4,4,4,8.5,4,20,1.25
7/16/2018,RE,3,4,4,4,8.25,2,17,0.3
7/16/2018,TM,4,5,5,4,8.25,3,21,0.55
7/16/2018,ID,3,3,4,4,8.75,2,16,-0.17
7/16/2018,CL,4,4,2,3,9,3,16,0.01
7/16/2018,HO,4,4,4,4,8.5,4,20,1
7/16/2018,TS,4,5,6,6,9,7,28,1.13
7/16/2018,NA,4,5,5,4,9.5,3,21,0.47
7/16/2018,NR,4,4,4,4,10,4,20,1.14
7/16/2018,NE,3,6,6,4,8.75,1,20,0.87
7/16/2018,LH,4,3,4,4,9,4,19,1.37
7/16/2018,IP,4,4,5,4,9,3,20,0.53
7/16/2018,TN,4,4,4,4,7.5,4,20,1.25
7/15/2018,TM,5,6,6,5,9,4,26,2.7
7/15/2018,ID,3,3,4,4,7.25,3,17,0.19
7/15/2018,HO,4,4,4,4,8.5,4,20,1.01
7/15/2018,RE,3,4,4,4,9,3,18,0.59
7/15/2018,TS,5,6,6,6,10,7,30,1.64
7/15/2018,NA,5,5,5,4,11.5,6,25,1.61
7/15/2018,CL,4,4,4,4,9.25,5,21,1.39
7/15/2018,IP,4,4,4,4,9.5,4,20,0.53
7/15/2018,NR,4,4,4,4,10,4,20,1.14
7/15/2018,LH,3,3,4,4,8.75,4,18,1
7/15/2018,NE,4,6,6,5,9,4,25,2.51
7/15/2018,TN,4,4,4,4,7.5,4,20,1.26
7/14/2018,HO,4,4,4,4,10,4,20,1.01
7/14/2018,NA,5,5,5,5,11.25,6,26,1.9
7/14/2018,RE,4,4,4,4,9,3,19,0.88
7/14/2018,LH,2,3,4,4,5.75,2,15,-0.14
7/14/2018,NR,4,4,4,4,10,4,20,1.15
7/14/2018,ID,2,3,3,3,6.25,1,12,-1.61
7/14/2018,IP,4,4,4,4,9.5,4,20,0.53
7/14/2018,CL,5,4,3,4,8.75,5,21,1.4
7/14/2018,NE,3,6,4,4,6.25,1,18,0.22
7/14/2018,TN,4,4,4,4,7.5,4,20,1.26
7/13/2018,TM,4,5,4,4,10,4,21,0.57
7/13/2018,HO,4,4,4,4,11.5,4,20,1.01
7/13/2018,CL,5,5,4,6,9.25,5,25,2.51
7/13/2018,RE,3,3,3,4,8.5,2,15,-0.29
7/13/2018,LH,3,3,4,4,9.5,4,18,1
7/13/2018,ID,3,3,4,4,9.5,3,17,0.18
7/13/2018,NE,5,5,4,5,9,4,23,1.88
7/13/2018,NR,3,4,4,4,9.5,4,19,0.7
7/13/2018,TN,4,3,4,4,7.5,4,19,0.68
7/13/2018,NA,4,3,5,5,9.5,5,22,0.77
7/12/2018,TM,5,5,5,7,8,4,26,2.75
7/12/2018,LH,4,3,4,4,7.75,4,19,1.38
7/12/2018,NL,3,2,3,3,9,4,15,-2.67
7/12/2018,HO,4,4,4,4,8.5,4,20,1.02
7/12/2018,HO,4,4,4,4,,4,,
7/12/2018,TS,5,4,4,5,8,7,25,0.39
7/12/2018,NA,4,4,5,5,8.75,4,22,0.77
7/12/2018,MW,3,4,4,4,7.75,4,19,-0.01
7/12/2018,IP,3,4,5,4,8.75,4,20,0.53
7/12/2018,RE,3,4,3,4,7.75,2,16,0.01
7/12/2018,NR,3,3,4,4,8.25,4,18,0.24
7/12/2018,TN,4,3,4,4,8,4,19,0.68
7/12/2018,CL,3,4,2,5,8,4,18,0.59
7/12/2018,NE,2,5,4,3,7,1,15,-0.76
7/11/2018,RE,3,3,4,4,8.5,2,16,0.01
7/11/2018,LH,4,3,4,4,10,4,19,1.39
7/11/2018,TS,3,3,3,4,10,7,20,-0.87
7/11/2018,CL,3,4,3,7,9,5,22,1.7
7/11/2018,NE,4,4,4,5,9,1,18,0.23
7/11/2018,ID,3,3,4,4,9.25,3,17,0.18
7/11/2018,NA,3,3,4,4,9,5,19,-0.09
7/11/2018,MW,4,3,4,4,8.75,4,19,-0.01
7/11/2018,NR,3,3,4,4,9.5,4,18,0.24
7/11/2018,HO,4,3,4,4,8.5,4,19,0.48
7/11/2018,TN,4,3,4,4,9,4,19,0.68
7/10/2018,CL,3,5,3,4,10.25,6,21,1.44
7/10/2018,HO,4,3,4,4,10,4,19,0.48
7/10/2018,MW,4,3,4,4,9,5,20,0.58
7/10/2018,NE,4,4,4,4,8.25,4,20,0.89
7/10/2018,RE,3,4,4,4,10,2,17,0.3
7/10/2018,ID,3,3,4,4,9.5,3,17,0.18
7/10/2018,LH,4,3,4,4,8.75,4,19,1.39
7/10/2018,TM,5,5,5,4,9,4,23,1.47
7/10/2018,NA,3,3,4,4,11,5,19,-0.09
7/10/2018,TS,4,4,4,4,10.5,7,23,-0.12
7/10/2018,NR,3,3,4,4,10,4,18,0.24
7/10/2018,IP,3,4,4,3,9.25,4,18,-0.22
7/10/2018,TN,3,3,4,4,9,4,18,0.1
7/9/2018,TM,5,5,5,4,8,4,23,1.48
7/9/2018,NL,3,3,2,3,9,4,15,-2.72
7/9/2018,MW,3,4,4,4,8,5,20,0.58
7/9/2018,NA,2,5,4,4,8.5,2,17,-0.66
7/9/2018,HO,3,4,4,4,7.5,3,18,-0.05
7/9/2018,LH,4,4,4,4,8.25,4,20,1.78
7/9/2018,TS,4,4,3,4,7.75,7,22,-0.37
7/9/2018,NR,3,4,4,4,8.5,4,19,0.7
7/9/2018,IP,3,4,4,4,8.5,4,19,0.15
7/9/2018,RE,3,4,3,3,8,2,15,-0.28
7/9/2018,ID,3,3,4,4,7.5,3,17,0.18
7/9/2018,TN,4,3,4,4,8,4,19,0.69
7/9/2018,CL,2,5,2,4,8,3,16,0.04
7/8/2018,TM,4,5,5,5,10,4,23,1.49
7/8/2018,TS,4,4,4,4,12.25,7,23,-0.12
7/8/2018,MW,4,4,4,4,9,3,19,-0.01
7/8/2018,NA,4,4,4,4,9.5,3,19,-0.09
7/8/2018,HO,3,4,4,4,7,2,17,-0.58
7/8/2018,LH,3,3,3,4,9.75,4,17,0.65
7/8/2018,NE,4,4,4,3,8.75,4,19,0.56
7/8/2018,IP,3,3,4,3,10.25,4,17,-0.6
7/8/2018,ID,3,4,4,4,8,3,18,0.54
7/8/2018,TN,4,3,3,4,7.5,4,18,0.1
7/8/2018,CL,3,5,3,6,9.25,5,22,1.72
7/8/2018,RE,2,4,2,5,9.5,3,16,0.01
7/8/2018,NR,4,4,4,4,10,4,20,1.15
7/7/2018,CL,3,4,3,5,10,5,20,1.17
7/7/2018,HO,4,4,4,4,9,4,20,1.02
7/7/2018,MW,4,3,4,4,8.5,4,19,-0.01
7/7/2018,NA,3,2,4,4,10.25,6,19,-0.09
7/7/2018,RE,2,2,2,4,10,2,12,-1.16
7/7/2018,ID,2,3,4,4,9.5,3,16,-0.17
7/7/2018,NR,3,3,4,4,10,4,18,0.25
7/7/2018,LH,3,3,3,4,8.75,4,17,0.65
7/7/2018,TN,3,3,3,4,7.5,4,17,-0.48
7/6/2018,HO,3,4,4,4,10.5,4,19,0.49
7/6/2018,TM,4,4,4,4,7.75,4,20,0.17
7/6/2018,LH,4,3,3,3,8.25,4,17,0.65
7/6/2018,CL,2,4,2,4,8.75,4,16,0.05
7/6/2018,MW,4,4,4,4,8.25,3,19,-0.01
7/6/2018,RE,1,3,2,3,8,1,10,-1.74
7/6/2018,NA,3,3,3,4,8.25,5,18,-0.38
7/6/2018,TS,4,4,4,4,8.5,7,23,-0.12
7/6/2018,NR,3,4,4,4,9,4,19,0.7
7/6/2018,IP,3,3,3,3,8.75,3,15,-1.36
7/6/2018,NL,3,2,3,3,9,4,15,-2.77
7/6/2018,NE,3,4,4,4,8.25,3,18,0.23
7/6/2018,ID,1,2,4,4,8.5,2,13,-1.24
7/6/2018,TN,4,3,3,4,7.5,4,18,0.1
7/5/2018,HO,3,3,4,4,9,3,17,-0.58
7/5/2018,TS,5,4,4,4,8.25,7,24,0.13
7/5/2018,CL,3,4,2,3,8.5,4,16,0.05
7/5/2018,NA,2,4,4,4,8.25,3,17,-0.66
7/5/2018,NE,3,4,4,4,8.25,2,17,-0.09
7/5/2018,NR,3,4,4,3,9,3,17,-0.21
7/5/2018,IP,3,4,4,2,8.75,4,17,-0.61
7/5/2018,NL,3,2,3,4,9,4,16,-2.18
7/5/2018,RE,3,3,3,3,7.5,2,14,-0.59
7/5/2018,MW,3,4,4,4,8.25,2,17,-1.18
7/5/2018,ID,3,3,4,4,8.75,3,17,0.18
7/5/2018,TM,3,4,4,4,6.75,4,19,-0.27
7/5/2018,LH,3,2,3,3,8.25,3,14,-0.49
7/5/2018,TN,4,3,4,4,7.5,4,19,0.68
7/4/2018,CL,4,2,2,5,9.25,5,18,0.61
7/4/2018,NA,3,3,4,4,9.25,4,18,-0.38
7/4/2018,MW,4,4,4,4,8.75,5,21,1.16
7/4/2018,TS,4,3,3,4,11.25,7,21,-0.62
7/4/2018,RE,2,3,2,4,10.5,1,12,-1.17
7/4/2018,HO,4,2,4,4,11,4,18,-0.05
7/4/2018,NE,3,3,4,4,8.75,4,18,0.23
7/4/2018,NR,3,3,3,4,10,4,17,-0.21
7/4/2018,IP,2,3,4,4,9.5,3,16,-0.99
7/4/2018,ID,3,2,4,4,9.25,2,15,-0.53
7/4/2018,LH,2,1,3,4,9.25,3,13,-0.87
7/4/2018,TM,4,2,3,3,8,4,16,-1.6
7/4/2018,TN,3,3,3,4,7.5,4,17,-0.47
7/3/2018,NL,2,1,2,3,9,2,10,-6.14
7/3/2018,TS,5,5,5,6,9.75,7,28,1.12
7/3/2018,MW,3,4,4,3,8.75,3,17,-1.19
7/3/2018,HO,3,2,4,4,9.25,4,17,-0.58
7/3/2018,NE,2,4,4,4,7.75,1,15,-0.75
7/3/2018,ID,3,2,4,4,8.75,3,16,-0.18
7/3/2018,RE,2,3,3,2,9,2,12,-1.18
7/3/2018,TM,4,4,4,4,8,4,20,0.16
7/3/2018,IP,4,4,5,4,9.75,4,21,0.89
7/3/2018,NA,2,3,4,4,8.75,4,17,-0.67
7/3/2018,CL,3,4,2,4,9.75,5,18,0.61
7/3/2018,NR,3,3,4,3,10,4,17,-0.21
7/3/2018,LH,3,2,3,3,8,1,12,-1.26
7/3/2018,TN,3,3,4,4,7.5,4,18,0.1
7/2/2018,RE,2,4,2,4,7.5,2,14,-0.6
7/2/2018,NL,3,2,4,4,10.25,4,17,-1.73
7/2/2018,MW,3,4,3,3,8,3,16,-1.78
7/2/2018,HO,3,4,4,4,7.25,2,17,-0.58
7/2/2018,IP,3,4,6,3,8.5,5,21,0.9
7/2/2018,ID,3,3,3,3,7.5,2,14,-0.89
7/2/2018,TS,4,5,5,4,8.25,7,25,0.38
7/2/2018,LH,3,3,3,3,8.25,4,16,0.26
7/2/2018,NE,3,4,4,3,7.75,1,15,-0.75
7/2/2018,NR,3,3,4,4,9.5,4,18,0.25
7/2/2018,NA,3,4,4,2,8,4,17,-0.67
7/2/2018,CL,2,4,1,3,8.25,3,13,-0.78
